name,id,macAddress,connectivityStatus
Device_176,ID_176,00:36:0b:59:06:08,0
Device_177,ID_177,00:40:24:63:5e:5e,0
Device_178,ID_178,00:51:60:0c:31:3a,0
Device_179,ID_179,00:5c:16:17:18:35,50
Device_180,ID_180,00:3d:2e:47:1f:44,0
Device_181,ID_181,00:19:5a:62:23:25,0
Device_182,ID_182,00:4b:2f:4a:48:33,0
Device_183,ID_183,00:1c:61:55:14:08,100
Device_184,ID_184,00:2f:05:22:4c:11,100
Device_185,ID_185,00:22:33:5f:2c:4b,100
Device_186,ID_186,00:46:50:2b:22:54,100
Device_187,ID_187,00:14:56:33:18:56,100
Device_188,ID_188,00:07:12:34:06:49,100
Device_189,ID_189,00:61:5f:55:10:2e,100
Device_190,ID_190,00:35:40:02:4c:1c,100
Device_191,ID_191,00:55:02:10:19:26,0
Device_192,ID_192,00:2c:5d:39:29:50,0
Device_193,ID_193,00:42:4e:09:1a:29,100
Device_194,ID_194,00:1f:5e:3a:4e:00,0
Device_195,ID_195,00:2b:1d:26:21:1a,0
Device_196,ID_196,00:30:1b:29:52:62,100
Device_197,ID_197,00:44:5b:60:51:35,100
Device_198,ID_198,00:23:0c:08:37:38,50
Device_199,ID_199,00:53:45:11:1a:5b,0
Device_200,ID_200,00:35:46:37:1c:05,50
